Method,Cell line,Drug,MOA (broad),MOA (fine)
"Block Weighted
(block_size = 4)",0.9129831588433938,0.0,0.19257885628932028,0.03405860480536437
"Block size = 4
Fetch factor = 16",0.9128688560799386,0.0,0.20372854184941563,0.026537775994563643
Random Sampling,0.9109948766986911,0.0,0.18585489167277225,0.030954774952759122
Streaming,0.9122049227257665,0.0,0.24901794605931216,0.0003038540375876423
Streaming (buffer),0.9119788668180235,0.0,0.2296733069785122,0.03442424883988653
"True Weighted
(block_size = 1)",0.9120645652009911,0.0,0.1829918720777444,0.027278735991858566
